No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
331,NOV,"National Oilwell Varco, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,33793.38,14.49,78.8,0.34%,3715870
332,NRG,"NRG Energy, Inc.",Utilities,Diversified Utilities,USA,10911.57,,33.54,2.51%,3294096
333,NSC,Norfolk Southern Corp.,Services,Railroads,USA,28977.05,16.11,93.58,-1.00%,1342336
334,NTAP,"NetApp, Inc.",Technology,Data Storage Devices,USA,11773.34,20.54,35.54,-0.20%,2963362
335,NTRS,Northern Trust Corporation,Financial,Asset Management,USA,14252.84,19.63,60.06,-0.32%,932079
336,NU,Northeast Utilities,Utilities,Diversified Utilities,USA,14885.11,18.94,47.16,-0.21%,1278933
337,NUE,Nucor Corporation,Basic Materials,Steel & Iron,USA,16524.89,32.43,51.89,0.27%,1180529
338,NVDA,NVIDIA Corporation,Technology,Semiconductor - Specialized,USA,10349.06,25.09,18.57,0.54%,4949756
339,NWL,Newell Rubbermaid Inc.,Consumer Goods,Housewares & Accessories,USA,8338.2,20.86,30.04,-0.23%,3735800
340,NWSA,News Corp.,Services,Broadcasting - TV,USA,9946.46,,17.3,1.65%,2417567
341,OI,"Owens-Illinois, Inc.",Consumer Goods,Packaging & Containers,USA,5253.86,26.31,31.83,0.16%,1365538
342,OKE,ONEOK Inc.,Utilities,Gas Utilities,USA,13156.09,49.83,63.29,0.11%,880280
343,OMC,Omnicom Group Inc.,Services,Advertising Agencies,USA,17323.23,14.93,67.03,-0.96%,1472001
344,ORCL,Oracle Corporation,Technology,Application Software,USA,182680.32,17.14,40.97,0.22%,13945501
345,ORLY,O'Reilly Automotive Inc.,Services,Auto Parts Stores,USA,15722.83,24.53,147.91,-0.59%,537087
346,OXY,Occidental Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,75052.55,12.91,94.99,-0.79%,3135193
347,PAYX,"Paychex, Inc.",Services,Staffing & Outsourcing Services,USA,15062.47,25.1,41.41,-0.96%,1451597
348,PBCT,People's United Financial Inc.,Financial,Savings & Loans,USA,4439.39,19.08,14.31,0.21%,2449502
349,PBI,Pitney Bowes Inc.,Consumer Goods,Business Equipment,USA,5379.3,17.7,26.55,-0.93%,2767045
350,PCAR,PACCAR Inc.,Consumer Goods,Trucks & Other Vehicles,USA,22728.88,19.42,64.09,0.17%,1678817
351,PCG,PG&E Corp.,Utilities,Electric Utilities,USA,21152.51,24.86,45.75,0.37%,2422345
352,PCL,Plum Creek Timber Co. Inc.,Industrial Goods,"Lumber, Wood Production",USA,7739.27,33.62,43.7,0.23%,785960
353,PCLN,priceline.com Incorporated,Services,Business Services,USA,61733.57,32.79,1180.6,1.97%,928448
354,PCP,Precision Castparts Corp.,Industrial Goods,Metal Fabrication,USA,36884.06,21.99,253.97,0.35%,412251
355,PDCO,Patterson Companies Inc.,Services,Medical Equipment Wholesale,USA,4242.01,20.01,40.82,0.29%,442319
356,PEG,Public Service Enterprise Group Inc.,Utilities,Diversified Utilities,USA,20479.64,16.51,40.46,-1.24%,6235755
357,PEP,"Pepsico, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,129728.4,19.36,85.57,-0.37%,3848693
358,PETM,"PetSmart, Inc.",Services,"Specialty Retail, Other",USA,6594.75,16.59,66.85,-1.23%,1095273
359,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - Major,USA,199158.46,18.88,31.15,-0.42%,41338920
360,PFG,Principal Financial Group Inc.,Financial,Life Insurance,USA,13708.2,13.64,46.5,-0.73%,1100490
361,PG,Procter & Gamble Co.,Consumer Goods,Personal Products,USA,222808.74,22.19,82.34,-0.25%,5304184
362,PGR,Progressive Corp.,Financial,Property & Casualty Insurance,USA,14845.36,12.94,24.98,3.01%,9402483
363,PH,Parker Hannifin Corporation,Industrial Goods,Industrial Equipment & Components,USA,18803.8,18.68,126.09,-0.62%,768046
364,PHM,"PulteGroup, Inc.",Industrial Goods,Residential Construction,USA,7016.38,2.77,18.53,0.76%,4353868
365,PKI,PerkinElmer Inc.,Healthcare,Medical Laboratories & Research,USA,4775.81,28.59,42.32,0.83%,778180
366,PLD,"Prologis, Inc.",Financial,REIT - Industrial,USA,20455.67,104.97,40.94,0.76%,1833804
367,PLL,Pall Corp.,Industrial Goods,Diversified Machinery,USA,9190.78,30.01,83.72,-0.51%,543919
368,PM,"Philip Morris International, Inc.",Consumer Goods,Cigarettes,USA,135472.75,16.61,85.72,0.34%,3501051
369,PNC,PNC Financial Services Group Inc.,Financial,Money Center Banks,USA,44738.2,11.2,83.77,-0.32%,1734635
370,PNR,"Pentair, Inc.",Industrial Goods,Industrial Equipment & Components,USA,14448.69,24.99,74.21,-0.11%,1000515
371,PNW,Pinnacle West Capital Corporation,Utilities,Electric Utilities,USA,6174.08,15.29,55.95,0.00%,1039151
372,POM,"Pepco Holdings, Inc.",Utilities,Electric Utilities,USA,6749.2,61.2,26.93,0.64%,18933736
373,PPG,PPG Industries Inc.,Basic Materials,Specialty Chemicals,USA,26634.41,26.07,192.64,-0.51%,394537
374,PPL,PPL Corporation,Utilities,Electric Utilities,USA,21583.43,19.66,34.21,2.61%,7339905
375,PRGO,Perrigo Co.,Healthcare,Drug Related Products,USA,19530.18,16.98,146.02,0.80%,808967
376,PRU,"Prudential Financial, Inc.",Financial,Life Insurance,USA,37580.09,,81.17,0.61%,1685946
377,PSA,Public Storage,Financial,REIT - Industrial,USA,30357.54,36.03,176.19,0.39%,751941
378,PSX,Phillips 66,Basic Materials,Oil & Gas Refining & Marketing,USA,47673.16,14.22,84.05,1.00%,2602296
379,PVH,PVH Corp.,Consumer Goods,Textile - Apparel Clothing,USA,10406.52,73.6,126.6,0.82%,739559
380,PWR,"Quanta Services, Inc.",Industrial Goods,General Contractors,USA,7506.33,18.91,35.17,-0.31%,2279698
381,PX,Praxair Inc.,Basic Materials,Chemicals - Major Diversified,USA,38165.85,21.43,130.29,-0.20%,902453
382,PXD,Pioneer Natural Resources Co.,Basic Materials,Independent Oil & Gas,USA,27653.35,,193.11,-0.08%,785905
383,QCOM,QUALCOMM Incorporated,Technology,Communication Equipment,USA,133324.85,21.58,78.99,0.36%,6990109
384,QEP,"QEP Resources, Inc.",Basic Materials,Oil & Gas Pipelines,USA,5481.64,34.2,30.44,-0.81%,1971757
385,R,"Ryder System, Inc.",Services,Rental & Leasing Services,USA,4371.93,17.34,82.21,0.04%,574308
386,RAI,Reynolds American Inc.,Consumer Goods,Cigarettes,USA,29958.72,17.91,55.89,-0.96%,1803610
387,RDC,Rowan Companies Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,3853.3,15.28,31.02,0.32%,2606156
388,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,30171.19,79.12,299.08,0.74%,652565
389,RF,Regions Financial Corp.,Financial,Regional - Southeast Banks,USA,14069.38,13.09,10.21,0.69%,14076297
390,RHI,Robert Half International Inc.,Services,Staffing & Outsourcing Services,USA,6154.53,23.81,44.77,-0.07%,1053180
391,RHT,"Red Hat, Inc.",Technology,Application Software,USA,9230.33,52.42,48.75,0.21%,1059067
392,RIG,Transocean Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Switzerland,15421.07,10.94,42.34,-1.69%,3665305
393,RL,Ralph Lauren Corporation,Consumer Goods,Textile - Apparel Clothing,USA,13743.11,18.89,153.4,1.34%,1035731
394,ROK,Rockwell Automation Inc.,Industrial Goods,Diversified Machinery,USA,16684.13,21.35,120.22,0.87%,1100161
395,ROP,Roper Industries Inc.,Industrial Goods,Diversified Machinery,USA,13781,25.72,138.1,-0.61%,553060
396,ROST,Ross Stores Inc.,Services,Apparel Stores,USA,14556.46,17.66,68.53,0.66%,1167846
397,RRC,Range Resources Corporation,Basic Materials,Independent Oil & Gas,USA,14612.31,127.47,89.23,-1.35%,1711508
398,RSG,"Republic Services, Inc.",Industrial Goods,Waste Management,USA,12512.72,21.62,35.03,-0.17%,1280212
399,RTN,Raytheon Co.,Industrial Goods,Aerospace/Defense Products & Services,USA,29849.97,15.07,95.41,-0.07%,1925472
400,SBUX,Starbucks Corporation,Services,Specialty Eateries,USA,53759.61,395.11,71.12,0.71%,3938191
401,SCG,SCANA Corp.,Utilities,Electric Utilities,USA,7521.88,14.68,53.29,-0.73%,720167
402,SCHW,The Charles Schwab Corporation,Financial,Investment Brokerage - National,USA,34566.23,30.55,26.58,0.11%,5751132
403,SE,Spectra Energy Corp.,Basic Materials,Oil & Gas Pipelines,USA,26552.13,25.56,39.62,-0.23%,1711642
404,SEE,Sealed Air Corporation,Consumer Goods,Packaging & Containers,USA,7223.79,76.27,33.56,-2.19%,4092298
405,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,19919.04,27.38,199.89,0.03%,435702
406,SIAL,Sigma-Aldrich Corporation,Basic Materials,Specialty Chemicals,USA,11370.61,23.57,95.68,-0.55%,489422
407,SJM,The J. M. Smucker Company,Consumer Goods,Processed & Packaged Goods,USA,10075.56,17.76,97.17,0.51%,455299
408,SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,131260.76,18.67,100.8,-0.74%,4174941
409,SLM,SLM Corporation,Financial,Credit Services,USA,3866.87,3.24,9.02,-64.97%,30866236
410,SNA,Snap-on Inc.,Industrial Goods,Small Tools & Accessories,USA,6756.42,18.86,116.01,0.01%,459820
411,SNDK,SanDisk Corp.,Technology,Data Storage Devices,USA,19179.63,17.61,85.05,0.09%,3092606
412,SNI,"Scripps Networks Interactive, Inc.",Services,Broadcasting - TV,USA,10821.41,22.11,75.18,0.15%,443163
413,SO,Southern Company,Utilities,Diversified Utilities,USA,40312.73,24.31,45.22,-1.33%,5997929
414,SPG,Simon Property Group Inc.,Financial,REIT - Retail,USA,53947.84,40.96,173.65,0.26%,934091
415,SPLS,"Staples, Inc.",Services,"Specialty Retail, Other",USA,8190.75,11.71,12.65,1.20%,9151301
416,SRCL,"Stericycle, Inc.",Industrial Goods,Waste Management,USA,9869.59,32.58,115.99,-0.39%,276942
417,SRE,Sempra Energy,Utilities,Diversified Utilities,USA,24201.21,24.62,98.72,0.11%,783363
418,STI,"SunTrust Banks, Inc.",Financial,Money Center Banks,USA,20300.25,15.75,37.96,-0.78%,4076263
419,STJ,St. Jude Medical Inc.,Healthcare,Medical Appliances & Equipment,USA,17925.45,24.57,63.14,-0.52%,3006592
420,STT,State Street Corp.,Financial,Asset Management,USA,27828.39,13.98,64.6,0.06%,2037347
421,STX,Seagate Technology PLC,Technology,Data Storage Devices,Ireland,16684.57,11.35,50.75,-3.48%,5975657
422,STZ,Constellation Brands Inc.,Consumer Goods,Beverages - Wineries & Distillers,USA,15441.03,9.22,81.26,1.78%,1041921
423,SWK,"Stanley Black & Decker, Inc.",Industrial Goods,Machine Tools & Accessories,USA,13392.08,22.63,85.99,0.12%,1190598
424,SWN,Southwestern Energy Co.,Basic Materials,Independent Oil & Gas,USA,16738.57,23.7,47.41,-0.98%,4790807
425,SWY,Safeway Inc.,Services,Grocery Stores,USA,7879.25,39.32,34.21,0.44%,1376721
426,SYK,Stryker Corp.,Healthcare,Medical Appliances & Equipment,USA,29352.94,29.44,77.43,-0.41%,1164304
427,SYMC,Symantec Corporation,Technology,Security Software & Services,USA,13941.65,16.39,20.16,-0.59%,4106874
428,SYY,Sysco Corp.,Services,Food Wholesale,USA,21175.91,21.94,36.2,-0.63%,2364566
429,T,"AT&T, Inc.",Technology,Telecom Services - Domestic,USA,184838.11,10.37,35.58,-0.34%,27836864
430,TAP,Molson Coors Brewing Company,Consumer Goods,Beverages - Brewers,USA,11168.24,19.7,60.48,0.85%,882406
431,TDC,Teradata Corporation,Technology,Data Storage Devices,USA,7315.37,20.2,45.85,0.86%,965748
432,TE,"TECO Energy, Inc.",Utilities,Electric Utilities,USA,3925.26,19.78,18,0.22%,2848418
433,TEG,"Integrys Energy Group, Inc.",Utilities,Gas Utilities,USA,4904.75,14.13,61.34,0.10%,399424
434,TEL,TE Connectivity Ltd.,Technology,Diversified Electronics,Switzerland,24217.25,17.27,59.25,0.46%,2320784
435,TGT,Target Corp.,Services,"Discount, Variety Stores",USA,39091.92,20.05,61.74,-0.02%,3611595
436,THC,Tenet Healthcare Corp.,Healthcare,Hospitals,USA,4440.41,,45.51,0.95%,1976820
437,TIF,Tiffany & Co.,Services,Jewelry Stores,USA,11354.26,62.5,88.12,0.72%,719903
438,TJX,"The TJX Companies, Inc.",Services,Department Stores,USA,40886.28,19.82,58.26,0.14%,2614444
439,TMK,Torchmark Corp.,Financial,Life Insurance,USA,7057.43,14.02,79.79,0.11%,509689
440,TMO,"Thermo Fisher Scientific, Inc.",Healthcare,Medical Laboratories & Research,USA,45846.18,29.32,114.92,0.81%,1550448
441,TRIP,TripAdvisor Inc.,Technology,Internet Information Providers,USA,11876.21,59.22,83.5,3.42%,2372508
442,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,21375.71,19.8,81.36,-0.94%,1311807
443,TRV,"The Travelers Companies, Inc.",Financial,Property & Casualty Insurance,USA,31560.7,8.77,90.83,0.28%,2753228
444,TSCO,Tractor Supply Company,Services,"Specialty Retail, Other",USA,9252.62,28.75,66.7,-0.80%,802627
445,TSN,Tyson Foods Inc.,Consumer Goods,Meat Products,USA,14431.7,16.83,42.41,1.05%,2629156
446,TSO,Tesoro Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,7474.86,20.09,57.06,1.37%,4752770
447,TSS,"Total System Services, Inc.",Financial,Credit Services,USA,5975.83,25.65,31.81,0.13%,2235737
448,TWC,Time Warner Cable Inc.,Services,CATV Systems,USA,39590.48,21.27,142.1,0.45%,2164041
449,TWX,Time Warner Inc.,Services,Entertainment - Diversified,USA,59111.08,17.69,66.87,0.62%,5519215
450,TXN,Texas Instruments Inc.,Technology,Semiconductor - Broad Line,USA,48927.1,23.68,45.23,-0.48%,9173783
451,TXT,Textron Inc.,Industrial Goods,Aerospace/Defense - Major Diversified,USA,10854.37,22.27,38.98,-4.69%,5341595
452,TYC,Tyco International Ltd.,Services,Security & Protection Services,Switzerland,18766.84,30.2,40.77,-0.32%,2418601
453,UNH,"Unitedhealth Group, Inc.",Healthcare,Health Care Plans,USA,73759.04,13.75,74.95,-0.12%,4597953
454,UNM,Unum Group,Financial,Accident & Health Insurance,USA,8639.37,10.36,33.46,0.72%,2151263
455,UNP,Union Pacific Corporation,Services,Railroads,USA,85509.41,19.32,188.8,-0.86%,1328315
456,UPS,"United Parcel Service, Inc.",Services,Air Delivery & Freight Services,USA,90196.45,21.75,98.11,-0.40%,2383556
457,URBN,Urban Outfitters Inc.,Services,Apparel Stores,USA,5194.04,19.01,35.93,0.76%,1788456
458,USB,U.S. Bancorp,Financial,Regional - Midwest Banks,USA,73475.42,13.46,40.37,-1.01%,5753852
459,UTX,United Technologies Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,107040.19,18.81,116.8,-1.29%,4101450
460,V,"Visa, Inc.",Financial,Credit Services,USA,129502.83,24.39,206.09,1.72%,3557249
461,VAR,Varian Medical Systems Inc.,Healthcare,Medical Appliances & Equipment,USA,8188.73,20.28,79.08,-0.59%,1042432
462,VFC,V.F. Corporation,Consumer Goods,Textile - Apparel Clothing,USA,26941.84,22.25,61.18,0.15%,1441983
463,VIAB,"Viacom, Inc.",Services,Entertainment - Diversified,USA,36575.51,16.15,83.5,-1.74%,3734090
464,VLO,Valero Energy Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,30742.69,11.64,57.71,0.94%,5979344
465,VMC,Vulcan Materials Company,Industrial Goods,General Building Materials,USA,8467.39,404.87,64.78,0.39%,2268081
466,VNO,Vornado Realty Trust,Financial,REIT - Diversified,USA,19332.18,,103.16,0.55%,544220
467,VRSN,"VeriSign, Inc.",Technology,Internet Information Providers,USA,6257.68,12.9,47.6,0.90%,1919860
468,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,16279.78,,68.95,1.85%,1731924
469,VTR,"Ventas, Inc.",Financial,REIT - Healthcare Facilities,USA,19614.15,40.14,66.64,0.85%,1448648
470,VZ,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,195490.81,10.56,47.22,1.05%,22728890
471,WAG,Walgreen Co.,Services,Drug Stores,USA,66259.13,24.45,69.43,2.25%,7852175
472,WAT,Waters Corp.,Technology,Scientific & Technical Instruments,USA,8520.92,19.33,100.53,2.02%,912420
473,WDC,Western Digital Corp.,Technology,Data Storage Devices,USA,19439.47,19.13,82.28,-6.58%,5060661
474,WEC,Wisconsin Energy Corp.,Utilities,Electric Utilities,USA,11055.85,19.5,48.95,0.97%,2110176
475,WFC,Wells Fargo & Company,Financial,Money Center Banks,USA,261389.34,12.35,49.64,0.00%,11833113
476,WFM,"Whole Foods Market, Inc.",Services,Grocery Stores,USA,18728.69,33.57,50.35,1.31%,4065279
477,WHR,Whirlpool Corp.,Consumer Goods,Appliances,USA,11792.46,16.67,152.2,-0.77%,752509
478,WIN,Windstream Corporation,Technology,Telecom Services - Domestic,USA,5520.64,23.49,9.16,0.99%,7254521
479,WLP,WellPoint Inc.,Healthcare,Health Care Plans,USA,28379.85,11.6,100.77,0.09%,2265953
480,WM,"Waste Management, Inc.",Industrial Goods,Waste Management,USA,20629.41,134.33,44.33,-0.27%,1715659
481,WMB,"Williams Companies, Inc.",Basic Materials,Oil & Gas Pipelines,USA,29658.12,67.61,43.27,2.61%,6594112
482,WMT,Wal-Mart Stores Inc.,Services,"Discount, Variety Stores",USA,257244.49,16.43,79.7,-0.01%,5096964
483,WPX,"WPX Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,4328.98,,21.42,0.66%,4970671
484,WU,Western Union Co.,Financial,Credit Services,USA,8540.93,11.08,15.85,-0.13%,7048526
485,WY,Weyerhaeuser Co.,Industrial Goods,"Lumber, Wood Production",USA,17495.88,29.93,29.93,0.27%,3442297
486,WYN,Wyndham Worldwide Corporation,Services,Lodging,USA,9105.21,22.01,71.52,0.25%,1369651
487,WYNN,Wynn Resorts Ltd.,Services,Resorts & Casinos,USA,20923.35,28.82,206.63,1.34%,2666813
488,X,United States Steel Corp.,Basic Materials,Steel & Iron,USA,3763.39,,26.01,-0.04%,5183340
489,XEL,Xcel Energy Inc.,Utilities,Electric Utilities,USA,15988.09,16.71,31.92,0.16%,2069752
490,XL,XL Group plc,Financial,Property & Casualty Insurance,Ireland,8785.86,8.82,31.75,1.28%,1856014
491,XLNX,Xilinx Inc.,Technology,Semiconductor - Integrated Circuits,USA,12435.68,21.28,46.6,-1.25%,2648081
492,XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,437110.58,13.69,101.41,-0.98%,11145043
493,XRAY,DENTSPLY International Inc.,Healthcare,Medical Instruments & Supplies,USA,6377.26,20.82,44.98,0.78%,801609
494,XRX,Xerox Corp.,Technology,Information Technology Services,USA,14101.35,12.85,12.08,-0.08%,7060321
495,XYL,Xylem Inc.,Industrial Goods,Diversified Machinery,USA,6839.82,30.05,36.96,-1.68%,1230369
496,YHOO,Yahoo! Inc.,Technology,Internet Information Providers,USA,36852.83,30.17,36.51,1.56%,19450544
497,YUM,"Yum! Brands, Inc.",Services,Restaurants,USA,33697.93,30.38,76.25,-0.96%,3008573
498,ZION,Zions Bancorp.,Financial,Regional - Pacific Banks,USA,5289.99,17.99,28.61,-1.07%,2630980
499,ZMH,"Zimmer Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,16434.6,21.96,97.5,0.72%,1945812
500,ZTS,Zoetis Inc.,Healthcare,Drugs - Generic,USA,15177.13,30.01,30.31,0.17%,3206975
